DATE,STATION,NAME,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV,MLY-PRCP-NORMAL,MLY-TAVG-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-75PCTL,MONTH
1,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",190,103,50,967,997,1000,2.9,2.20,49.2,0.83,2.76,Jan
2,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",228,132,68,867,973,999,3.2,2.31,52.1,1.00,3.23,Feb
3,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",446,306,185,494,761,928,3.6,2.78,59.2,1.68,3.82,Mar
4,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",668,519,373,48,189,453,4.1,2.27,67.3,0.91,3.04,Apr
5,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",936,781,626,0,0,0,2.5,4.05,75.2,1.73,6.12,May
6,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1081,931,781,0,0,0,1.9,4.63,81.0,2.28,6.65,Jun
7,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1192,1037,882,0,0,0,1.3,2.44,83.4,0.97,3.20,Jul
8,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1199,1044,889,0,0,0,1.4,2.03,83.7,0.74,2.58,Aug
9,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",985,835,685,0,0,0,2.5,2.54,77.8,0.77,4.06,Sep
10,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",745,591,438,25,96,264,3.7,4.24,69.0,1.57,6.50,Oct
11,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",412,281,172,530,819,969,2.9,2.94,58.4,1.04,3.78,Nov
12,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",208,119,63,941,991,999,4.0,2.21,50.4,0.51,2.96,Dec